pk,id,name,level,status,macroareas
1,kond1302,Konda-Yahadian,family,Unknown,Papunesia
2,cani1243,Canichana,language,extinct,South America
3,mong1349,Mongolic-Khitan,family,Unknown,Eurasia
4,cadd1255,Caddoan,family,Unknown,North America
5,yuki1242,Yuki-Wappo,family,Unknown,North America
6,grea1241,Great Andamanese,family,Unknown,Eurasia
6,grea1241,Great Andamanese,family,Unknown,Papunesia
7,gong1255,Ta-Ne-Omotic,family,Unknown,Africa
8,monu1249,Bogia,family,Unknown,Papunesia
9,lowe1437,Lower Sepik-Ramu,family,Unknown,Papunesia
10,kala1402,Kalapuyan,family,Unknown,North America
11,teme1251,Temeinic,family,Unknown,Africa
12,morb1239,Mor (Bomberai Peninsula),language,moribund,Papunesia
13,kwal1257,Kwalean,family,Unknown,Papunesia
14,rama1271,Ramanos,language,extinct,South America
15,maya1287,Mayan,family,Unknown,North America
16,guai1249,Guaicuruan,family,Unknown,South America
17,kimk1238,Kimki,language,shifting,Papunesia
18,odia1239,Odiai,language,shifting,Papunesia
19,jarr1235,Jarrakan,family,Unknown,Australia
20,yano1268,Yanomamic,family,Unknown,South America
21,yale1246,Yale,language,shifting,Papunesia
22,nort2923,North Halmahera,family,Unknown,Papunesia
23,song1307,Songhay,family,Unknown,Africa
24,utoa1244,Uto-Aztecan,family,Unknown,North America
25,moro1289,Marori,language,shifting,Papunesia
26,zamu1243,Zamucoan,family,Unknown,South America
27,kehu1238,Kehu,language,moribund,Papunesia
28,giim1238,Giimbiyu,family,Unknown,Australia
29,maid1262,Maiduan,family,Unknown,North America
30,bang1363,Bangime,language,shifting,Africa
31,mola1238,Molale,language,extinct,North America
32,iroq1247,Iroquoian,family,Unknown,North America
33,toro1256,Tor-Orya,family,Unknown,Papunesia
34,hurr1239,Hurro-Urartian,family,Unknown,Eurasia
35,sout1293,South-Eastern Tasmanian,family,Unknown,Australia
36,abun1252,Abun,language,shifting,Papunesia
37,nakh1245,Nakh-Daghestanian,family,Unknown,Eurasia
38,kaku1242,Kakua-Nukak,family,Unknown,South America
39,tiwi1244,Tiwi,language,shifting,Australia
40,hmon1336,Hmong-Mien,family,Unknown,Eurasia
41,jara1244,Jarawa-Onge,family,Unknown,Eurasia
42,tonk1249,Tonkawa,language,extinct,North America
43,amto1249,Amto-Musan,family,Unknown,Papunesia
44,waor1240,Waorani,language,shifting,South America
45,kart1248,Kartvelian,family,Unknown,Eurasia
46,sent1261,Sentanic,family,Unknown,Papunesia
47,wage1238,Wageman,language,moribund,Australia
48,chap1271,Chapacuran,family,Unknown,South America
49,iber1250,Iberian,language,extinct,Eurasia
50,saha1239,Sahaptian,family,Unknown,North America
51,wadj1254,Wadjiginy,language,moribund,Australia
52,muni1258,Muniche,language,extinct,South America
53,shas1238,Shastan,family,Unknown,North America
54,otom1299,Otomanguean,family,Unknown,North America
55,chim1311,Chimakuan,family,Unknown,North America
56,kena1236,Kenaboi,language,extinct,Eurasia
57,chim1301,Chimariko,language,extinct,North America
58,gumu1250,Gumuz,family,Unknown,Africa
59,tall1235,Tallán,language,extinct,South America
60,come1251,Comecrudan,language,extinct,North America
61,lenc1239,Lencan,family,Unknown,North America
62,coos1248,Coosan,family,Unknown,North America
63,nyul1248,Nyulnyulan,family,Unknown,Australia
64,yetf1238,Yetfa,language,shifting,Papunesia
65,turk1311,Turkic,family,Unknown,Eurasia
66,namb1299,Nambiquaran,family,Unknown,South America
67,puri1261,Puri-Coroado,family,Unknown,South America
68,aust1305,Austroasiatic,family,Unknown,Eurasia
68,aust1305,Austroasiatic,family,Unknown,Papunesia
69,atla1278,Atlantic-Congo,family,Unknown,Africa
69,atla1278,Atlantic-Congo,family,Unknown,North America
70,lepk1239,Lepki-Murkim-Kembra,family,Unknown,Papunesia
71,inan1242,Inanwatan,family,Unknown,Papunesia
72,mpur1239,Mpur,language,shifting,Papunesia
73,eski1264,Eskimo-Aleut,family,Unknown,Eurasia
73,eski1264,Eskimo-Aleut,family,Unknown,North America
74,chum1262,Chumashan,family,Unknown,North America
75,boro1281,Bororoan,family,Unknown,South America
76,hata1242,Hatam-Mansim,family,Unknown,Papunesia
77,kwom1263,Kwomtari-Nai,family,Unknown,Papunesia
78,beot1247,Beothuk,language,extinct,North America
79,tuuu1241,Tuu,family,Unknown,Africa
80,iton1250,Itonama,language,nearly extinct,South America
81,pyuu1245,Pyu,language,shifting,Papunesia
82,pume1238,Pumé,language,shifting,South America
83,puel1244,Puelche,language,extinct,South America
84,zapa1251,Zaparoan,family,Unknown,South America
85,sout2845,South Omotic,family,Unknown,Africa
86,mink1237,Minkin,language,extinct,Australia
87,tebe1251,Teberan,family,Unknown,Papunesia
88,jica1245,Jicaquean,family,Unknown,North America
89,seri1257,Seri,language,shifting,North America
90,pauw1244,Pauwasi,family,Unknown,Papunesia
91,bosa1245,Bosavi,family,Unknown,Papunesia
92,sand1273,Sandawe,language,threatened,Africa
93,tuxa1239,Tuxá,language,extinct,South America
94,moch1259,Mochica,language,extinct,South America
95,ainu1252,Ainu,family,Unknown,Eurasia
96,katu1274,Katukinan,family,Unknown,South America
97,chib1249,Chibchan,family,Unknown,North America
97,chib1249,Chibchan,family,Unknown,South America
98,chon1288,Chonan,family,Unknown,South America
99,kadu1256,Kadugli-Krongo,family,Unknown,Africa
100,gaga1251,Gaagudju,language,extinct,Australia
101,pele1245,Pele-Ata,language,shifting,Papunesia
102,tama1329,Tamaic,family,Unknown,Africa
103,otom1276,Otomaco-Taparita,family,extinct,South America
104,urar1246,Urarina,language,shifting,South America
105,take1257,Takelma,language,extinct,North America
106,choc1280,Chocoan,family,Unknown,South America
107,hrus1242,Hruso,language,shifting,Eurasia
108,etru1241,Etruscan,language,extinct,Eurasia
109,left1242,Left May,family,Unknown,Papunesia
110,niha1238,Nihali,language,shifting,Eurasia
111,iran1263,Irántxe-Münkü,language,moribund,South America
112,west2604,West Bomberai,family,Unknown,Papunesia
113,umbu1235,Umbugarla,language,extinct,Australia
114,boga1247,Bogaya,language,shifting,Papunesia
115,taik1256,Tai-Kadai,family,Unknown,Eurasia
116,huav1256,Huavean,family,Unknown,North America
117,east2386,Eastern Jebel,family,Unknown,Africa
118,yeni1252,Yeniseian,family,Unknown,Eurasia
119,kaya1327,Kayagaric,family,Unknown,Papunesia
120,west1503,Western Tasmanian,family,Unknown,Australia
121,yana1271,Yana,language,extinct,North America
122,usku1243,Usku,language,shifting,Papunesia
123,karo1304,Karok,language,nearly extinct,North America
124,kano1245,Kanoê,language,nearly extinct,South America
125,taru1236,Taruma,language,nearly extinct,South America
126,pawa1255,Pawaia,language,shifting,Papunesia
127,movi1243,Movima,language,shifting,South America
128,kiwa1251,Kiwaian,family,Unknown,Papunesia
129,kaur1274,Kaure-Kosare,family,Unknown,Papunesia
130,unat1236,Unattested,family,Unknown,Africa
130,unat1236,Unattested,family,Unknown,Australia
130,unat1236,Unattested,family,Unknown,Eurasia
130,unat1236,Unattested,family,Unknown,North America
130,unat1236,Unattested,family,Unknown,Papunesia
130,unat1236,Unattested,family,Unknown,South America
131,kres1240,Kresh-Aja,family,Unknown,Africa
132,paho1240,Pahoturi,family,Unknown,Papunesia
133,omur1241,Omurano,language,extinct,South America
134,bira1253,Ongota,language,nearly extinct,Africa
135,kwaz1243,Kwaza,language,moribund,South America
136,kuja1239,Kujarge,language,shifting,Africa
137,chuk1271,Chukotko-Kamchatkan,family,Unknown,Eurasia
138,katl1246,Katla-Tima,family,Unknown,Africa
139,yera1243,Yerakai,language,shifting,Papunesia
140,molo1262,Molof,language,shifting,Papunesia
141,yoku1255,Yokutsan,family,Unknown,North America
142,maoo1243,Blue Nile Mao,family,Unknown,Africa
143,nara1262,Nara,language,not endangered,Africa
144,kere1287,Keresan,family,Unknown,North America
145,coch1271,Cochimi-Yuman,family,Unknown,North America
146,nucl1709,Nuclear Trans New Guinea,family,Unknown,Papunesia
147,yama1264,Yámana,language,nearly extinct,South America
148,arti1236,Artificial Language,family,Unknown,Africa
148,arti1236,Artificial Language,family,Unknown,Eurasia
148,arti1236,Artificial Language,family,Unknown,North America
148,arti1236,Artificial Language,family,Unknown,Papunesia
149,geel1240,Geelvink Bay,family,Unknown,Papunesia
150,pank1250,Pankararú,language,extinct,South America
151,sign1238,Sign Language,family,Unknown,Africa
151,sign1238,Sign Language,family,Unknown,Australia
151,sign1238,Sign Language,family,Unknown,Eurasia
151,sign1238,Sign Language,family,Unknown,North America
151,sign1238,Sign Language,family,Unknown,Papunesia
151,sign1238,Sign Language,family,Unknown,South America
152,yawa1259,Yawa-Saweru,family,Unknown,Papunesia
153,cayu1241,Cayuse,language,extinct,North America
154,yura1255,Yuracaré,language,shifting,South America
155,lafo1243,Lafofa,language,shifting,Africa
156,nivk1234,Nivkh,family,Unknown,Eurasia
157,nada1235,Naduhup,family,Unknown,South America
158,burm1264,Burmeso,language,shifting,Papunesia
159,tang1340,Tangkic,family,Unknown,Australia
160,natc1249,Natchez,language,extinct,North America
161,kera1258,Keram,family,Unknown,Papunesia
162,atac1235,Atacame,language,extinct,South America
163,jira1235,Jirajaran,language,extinct,South America
164,kore1284,Koreanic,family,Unknown,Eurasia
165,hadz1240,Hadza,language,shifting,Africa
166,suar1238,Asabano,language,shifting,Papunesia
167,lavu1241,Lavukaleve,language,shifting,Papunesia
168,alse1251,Alsea-Yaquina,language,extinct,North America
169,surm1244,Surmic,family,Unknown,Africa
170,bain1263,Baining,family,Unknown,Papunesia
171,chit1248,Chitimacha,language,extinct,North America
172,gunw1250,Gunwinyguan,family,Unknown,Australia
173,puqu1242,Puquina,language,extinct,South America
174,else1239,Elseng,language,shifting,Papunesia
175,daga1274,Dagan,family,Unknown,Papunesia
176,ando1256,Andoque,language,shifting,South America
177,suki1244,Suki-Gogodala,family,Unknown,Papunesia
178,siou1252,Siouan,family,Unknown,North America
179,lule1238,Lule,language,extinct,South America
180,chiq1253,Chiquitano,family,Unknown,South America
181,indo1319,Indo-European,family,Unknown,Africa
181,indo1319,Indo-European,family,Unknown,Australia
181,indo1319,Indo-European,family,Unknown,Eurasia
181,indo1319,Indo-European,family,Unknown,North America
181,indo1319,Indo-European,family,Unknown,Papunesia
181,indo1319,Indo-European,family,Unknown,South America
182,dogo1299,Dogon,family,Unknown,Africa
183,leco1242,Leco,language,extinct,South America
184,kuot1243,Kuot,language,shifting,Papunesia
185,worr1236,Worrorran,family,Unknown,Australia
186,doso1238,Doso-Turumsa,family,Unknown,Papunesia
187,koia1260,Koiarian,family,Unknown,Papunesia
188,afro1255,Afro-Asiatic,family,Unknown,Africa
188,afro1255,Afro-Asiatic,family,Unknown,Eurasia
189,mair1253,Mairasic,family,Unknown,Papunesia
190,west1493,West Bird's Head,family,Unknown,Papunesia
191,maba1274,Maban,family,Unknown,Africa
192,cams1241,Camsá,language,shifting,South America
193,mawe1251,Mawes,language,shifting,Papunesia
194,huit1251,Huitotoan,family,Unknown,South America
195,elam1244,Elamite,language,extinct,Eurasia
196,bord1247,Border,family,Unknown,Papunesia
197,coah1252,Coahuilteco,language,extinct,North America
198,skoo1245,Sko,family,Unknown,Papunesia
199,ticu1244,Ticuna-Yuri,family,Unknown,South America
200,manu1261,Manubaran,family,Unknown,Papunesia
201,guac1239,Guachi,language,extinct,South America
202,kwer1242,Greater Kwerba,family,Unknown,Papunesia
203,mass1263,Massep,language,moribund,Papunesia
204,mero1237,Meroitic,language,extinct,Africa
205,koma1264,Koman,family,Unknown,Africa
206,cuit1236,Cuitlatec,language,extinct,North America
207,aust1307,Austronesian,family,Unknown,Africa
207,aust1307,Austronesian,family,Unknown,Eurasia
207,aust1307,Austronesian,family,Unknown,Papunesia
207,aust1307,Austronesian,family,Unknown,South America
208,chin1490,Chinookan,family,Unknown,North America
209,kung1259,Kungarakany,language,extinct,Australia
210,bilu1245,Bilua,language,shifting,Papunesia
211,cent2225,Central Sudanic,family,Unknown,Africa
212,leng1261,Lengua-Mascoy,family,Unknown,South America
213,abin1243,Abinomn,language,shifting,Papunesia
214,mang1423,Mangarrayi-Maran,family,Unknown,Australia
215,kara1497,Karami,language,extinct,Papunesia
216,yuat1252,Yuat,family,Unknown,Papunesia
217,nubi1251,Nubian,family,Unknown,Africa
218,xinc1237,Xincan,family,Unknown,North America
219,anim1240,Anim,family,Unknown,Papunesia
220,siam1242,Siamou,language,not endangered,Africa
221,tsim1258,Tsimshian,family,Unknown,North America
222,piaw1238,Piawi,family,Unknown,Papunesia
223,paez1247,Páez,language,threatened,South America
224,mata1275,Matanawí,language,extinct,South America
225,kawe1237,Kawesqar,family,Unknown,South America
226,fasu1242,Fasu,language,shifting,Papunesia
227,nort1442,North-Eastern Tasmanian,family,Unknown,Australia
228,goil1242,Goilalan,family,Unknown,Papunesia
229,araw1282,Arawan,family,Unknown,South America
230,cofa1242,Cofán,language,shifting,South America
231,guah1252,Guahiboan,family,Unknown,South America
232,east2374,Eastern Daly,family,Unknown,Australia
233,dizo1235,Dizoid,family,Unknown,Africa
234,marr1257,Marrku-Wurrugu,family,Unknown,Australia
235,sali1253,Salinan,language,extinct,North America
236,cayu1262,Cayubaba,language,extinct,South America
237,east2433,East Strickland,family,Unknown,Papunesia
238,nyim1244,Nyimang,family,Unknown,Africa
239,zuni1245,Zuni,language,shifting,North America
240,ayma1253,Aymaran,family,Unknown,South America
241,kusu1250,Kusunda,language,nearly extinct,Eurasia
242,nort1547,Northern Daly,family,Unknown,Australia
243,otii1244,Oti,language,extinct,South America
244,daju1249,Dajuic,family,Unknown,Africa
245,klam1254,Klamath-Modoc,language,extinct,North America
246,mure1235,Mure,language,extinct,South America
247,taus1253,Taushiro,language,nearly extinct,South America
248,oyst1235,Oyster Bay-Big River-Little Swanport,language,extinct,Australia
249,misu1242,Misumalpan,family,Unknown,North America
250,dibi1240,Dibiyaso,language,shifting,Papunesia
251,adai1235,Adai,language,extinct,North America
252,east1459,East Bird's Head,family,Unknown,Papunesia
253,momb1255,Mombum-Koneraw,family,Unknown,Papunesia
254,dama1272,Damal,language,shifting,Papunesia
255,pomo1273,Pomoan,family,Unknown,North America
256,tura1263,Turama-Kikori,family,Unknown,Papunesia
257,atha1245,Athabaskan-Eyak-Tlingit,family,Unknown,North America
258,miwo1274,Miwok-Costanoan,family,Unknown,North America
259,anem1249,Anem,language,shifting,Papunesia
260,arau1255,Araucanian,family,Unknown,South America
261,yuch1247,Yuchi,language,nearly extinct,North America
262,guam1236,Guamo,language,extinct,South America
263,duna1248,Duna,language,not endangered,Papunesia
264,rash1249,Rashad,family,Unknown,Africa
265,sech1236,Sechuran,language,extinct,South America
266,chon1248,Chono,language,extinct,South America
267,xuku1239,Xukurú,language,extinct,South America
268,yele1255,Yele,language,shifting,Papunesia
269,pama1250,Pama-Nyungan,family,Unknown,Australia
270,fura1235,Furan,family,Unknown,Africa
271,spee1234,Speech Register,family,Unknown,Africa
271,spee1234,Speech Register,family,Unknown,Eurasia
271,spee1234,Speech Register,family,Unknown,Papunesia
272,toto1251,Totonacan,family,Unknown,North America
273,guri1248,Guriaso,language,shifting,Papunesia
274,haid1248,Haida,family,Unknown,North America
275,yang1287,Yangmanic,family,Unknown,Australia
276,paya1236,Payagua,language,extinct,South America
277,bula1259,Bulaka River,family,Unknown,Papunesia
278,cull1235,Culli,language,extinct,South America
279,taia1239,Taiap,language,moribund,Papunesia
280,araf1243,Arafundi,family,Unknown,Papunesia
281,naml1239,Namla-Tofanma,family,Unknown,Papunesia
282,quec1387,Quechuan,family,Unknown,South America
283,kuli1252,Kuliak,family,Unknown,Africa
284,lara1258,Laragia,language,nearly extinct,Australia
285,sali1255,Salishan,family,Unknown,North America
286,vile1241,Vilela,language,extinct,South America
287,cand1248,Candoshi-Shapra,language,shifting,South America
288,kama1371,Kamakanan,family,Unknown,South America
289,kolp1236,Kol (Papua New Guinea),language,shifting,Papunesia
290,drav1251,Dravidian,family,Unknown,Eurasia
291,basq1248,Basque,language,threatened,Eurasia
292,mimi1240,Mimi-Gaudefroy,language,extinct,Africa
293,coto1248,Cotoname,language,extinct,North America
294,kari1254,Kariri,language,extinct,South America
295,more1255,Yam,family,Unknown,Papunesia
296,japo1237,Japonic,family,Unknown,Eurasia
296,japo1237,Japonic,family,Unknown,Papunesia
297,mara1266,Maratino,language,extinct,North America
298,ural1272,Uralic,family,Unknown,Eurasia
299,buru1296,Burushaski,language,shifting,Eurasia
300,tupi1275,Tupian,family,Unknown,South America
301,aika1237,Aikanã,language,threatened,South America
302,kamu1264,Kamula-Elevala,family,Unknown,Papunesia
303,limi1242,Limilngan-Wulna,family,Unknown,Australia
304,saus1247,Sause,language,shifting,Papunesia
305,heib1242,Heibanic,family,Unknown,Africa
306,khoe1240,Khoe-Kwadi,family,Unknown,Africa
307,kibi1239,Kibiri,language,shifting,Papunesia
308,cari1283,Cariban,family,Unknown,North America
308,cari1283,Cariban,family,Unknown,South America
309,maku1246,Máku,language,extinct,South America
310,musk1252,Muskogean,family,Unknown,North America
311,jodi1234,Jodi-Saliban,family,Unknown,South America
312,hara1260,Harakmbut,family,Unknown,South America
313,hibi1242,Hibito-Cholon,family,Unknown,South America
314,garr1260,Garrwan,family,extinct,Australia
315,papi1255,Papi,language,moribund,Papunesia
316,mail1249,Mailuan,family,Unknown,Papunesia
317,soma1242,Somahai,family,Unknown,Papunesia
318,sout2948,South Bougainville,family,Unknown,Papunesia
319,mixe1287,Mixed Language,family,Unknown,Australia
319,mixe1287,Mixed Language,family,Unknown,Eurasia
319,mixe1287,Mixed Language,family,Unknown,North America
319,mixe1287,Mixed Language,family,Unknown,South America
320,waka1280,Wakashan,family,Unknown,North America
321,tamb1257,Tambora,language,extinct,Papunesia
322,yuka1259,Yukaghir,family,Unknown,Eurasia
323,tini1245,Tinigua,language,nearly extinct,South America
324,touo1238,Touo,language,shifting,Papunesia
325,kolo1268,Kolopom,family,Unknown,Papunesia
326,algi1248,Algic,family,Unknown,North America
327,wara1303,Warao,language,threatened,South America
328,trum1247,Trumai,language,nearly extinct,South America
329,fuln1247,Fulniô,language,shifting,South America
330,mata1289,Matacoan,family,Unknown,South America
331,sepi1257,Sepik,family,Unknown,Papunesia
332,book1242,Bookkeeping,family,Unknown,Africa
332,book1242,Bookkeeping,family,Unknown,Australia
332,book1242,Bookkeeping,family,Unknown,Eurasia
332,book1242,Bookkeeping,family,Unknown,North America
332,book1242,Bookkeeping,family,Unknown,Papunesia
332,book1242,Bookkeeping,family,Unknown,South America
333,sape1238,Sapé,language,extinct,South America
334,sino1245,Sino-Tibetan,family,Unknown,Eurasia
335,guai1237,Guaicurian,language,extinct,North America
336,yare1250,Yareban,family,Unknown,Papunesia
337,jiva1245,Chicham,family,Unknown,South America
338,pura1257,Purari,language,shifting,Papunesia
339,narr1279,Narrow Talodi,family,Unknown,Africa
340,lake1255,Lakes Plain,family,Unknown,Papunesia
341,araw1281,Arawakan,family,Unknown,North America
341,araw1281,Arawakan,family,Unknown,South America
342,char1238,Charruan,family,Unknown,South America
343,sout1516,South Bird's Head Family,family,Unknown,Papunesia
344,mose1249,Mosetén-Chimané,language,threatened,South America
345,west2434,Western Daly,family,Unknown,Australia
346,sius1254,Siuslaw,language,extinct,North America
347,wali1264,Walioic,family,Unknown,Papunesia
348,maib1239,Maybrat-Karon,language,not endangered,Papunesia
349,guat1253,Guató,language,nearly extinct,South America
350,kaki1249,Kaki Ae,language,shifting,Papunesia
351,shab1252,Shabo,language,moribund,Africa
352,anda1286,Andaqui,language,extinct,South America
353,tuni1252,Tunica,language,extinct,North America
354,sulk1246,Sulka,language,shifting,Papunesia
355,taul1250,Taulil-Butam,family,Unknown,Papunesia
356,savo1255,Savosavo,language,shifting,Papunesia
357,bert1248,Berta,language,shifting,Africa
358,tuca1253,Tucanoan,family,Unknown,South America
359,uruc1242,Uru-Chipaya,family,Unknown,South America
360,sume1241,Sumerian,language,extinct,Eurasia
361,sout2772,Southern Daly,family,Unknown,Australia
362,beto1236,Betoi-Jirara,language,extinct,South America
363,nort2933,North Bougainville,family,Unknown,Papunesia
364,tara1323,Tarascan,family,Unknown,North America
365,ijoi1239,Ijoid,family,Unknown,Africa
366,bora1262,Boran,family,Unknown,South America
367,barb1265,Barbacoan,family,Unknown,South America
368,shom1245,Shom Peng,language,shifting,Eurasia
369,bayo1259,Bayono-Awbono,family,Unknown,Papunesia
370,nimb1257,Nimboranic,family,Unknown,Papunesia
371,timo1237,Timote-Cuica,language,extinct,South America
372,nduu1242,Ndu,family,Unknown,Papunesia
373,kara1289,Karankawa,language,extinct,North America
374,puin1248,Puinave,language,shifting,South America
375,arut1244,Arutani,language,nearly extinct,South America
376,cahu1265,Cahuapanan,family,Unknown,South America
377,nucl1580,Eleman,family,Unknown,Papunesia
378,buna1274,Bunaban,family,Unknown,Australia
379,mand1469,Mande,family,Unknown,Africa
380,huar1251,Huarpean,family,Unknown,South America
381,nucl1710,Nuclear-Macro-Je,family,Unknown,South America
382,anga1289,Angan,family,Unknown,Papunesia
383,wint1258,Wintuan,family,Unknown,North America
384,hatt1246,Hattic,language,extinct,Eurasia
385,abis1238,Aewa,language,extinct,South America
386,wash1253,Washo,language,moribund,North America
387,sena1264,Senagi,family,Unknown,Papunesia
388,east2499,East Kutubu,family,Unknown,Papunesia
389,mixe1284,Mixe-Zoque,family,Unknown,North America
390,timu1245,Timucua,language,extinct,North America
391,laal1242,Laal,language,shifting,Africa
392,saha1256,Saharan,family,Unknown,Africa
393,mani1293,Maningrida,family,Unknown,Australia
394,iwai1246,Iwaidjan Proper,family,Unknown,Australia
395,kapo1250,Kapori,language,threatened,Papunesia
396,east2503,Eastern Trans-Fly,family,Unknown,Papunesia
397,wiru1244,Wiru,language,threatened,Papunesia
398,gule1241,Gule,language,extinct,Africa
399,abkh1242,Abkhaz-Adyge,family,Unknown,Eurasia
400,tung1282,Tungusic,family,Unknown,Eurasia
401,pala1350,Palaihnihan,family,Unknown,North America
402,peba1241,Peba-Yagua,family,Unknown,South America
403,kunz1244,Kunza,language,extinct,South America
404,pano1259,Pano-Tacanan,family,Unknown,South America
405,uncl1493,Unclassifiable,family,Unknown,Africa
405,uncl1493,Unclassifiable,family,Unknown,Australia
405,uncl1493,Unclassifiable,family,Unknown,Eurasia
405,uncl1493,Unclassifiable,family,Unknown,North America
405,uncl1493,Unclassifiable,family,Unknown,Papunesia
405,uncl1493,Unclassifiable,family,Unknown,South America
406,yuru1243,Yurumanguí,language,extinct,South America
407,tabo1241,Tabo,language,shifting,Papunesia
408,tana1288,Tanahmerah,language,shifting,Papunesia
409,baib1250,Baibai-Fas,family,Unknown,Papunesia
410,timo1261,Timor-Alor-Pantar,family,Unknown,Papunesia
411,kute1249,Kutenai,language,moribund,North America
412,pira1253,Pirahã,language,threatened,South America
413,tequ1244,Tequistlatecan,family,Unknown,North America
414,mato1253,Mato Grosso Arára,language,extinct,South America
415,kiow1265,Kiowa-Tanoan,family,Unknown,North America
416,esse1238,Esselen,language,extinct,North America
417,atak1252,Atakapa,language,extinct,North America
418,kxaa1236,Kxa,family,Unknown,Africa
419,nilo1247,Nilotic,family,Unknown,Africa
420,demm1245,Dem,language,shifting,Papunesia
421,pidg1258,Pidgin,family,Unknown,Africa
421,pidg1258,Pidgin,family,Unknown,Australia
421,pidg1258,Pidgin,family,Unknown,Eurasia
421,pidg1258,Pidgin,family,Unknown,North America
421,pidg1258,Pidgin,family,Unknown,Papunesia
421,pidg1258,Pidgin,family,Unknown,South America
422,nucl1708,Nuclear Torricelli,family,Unknown,Papunesia
423,mirn1241,Mirndi,family,Unknown,Australia
424,cent2045,Jalaa,language,extinct,Africa
425,kuna1268,Kunama,language,not endangered,Africa
426,kond1303,Yaben (Konda),language,threatened,Papunesia
427,yaha1248,Yahadian,language,threatened,Papunesia
428,mong1329,Mongolic,family,Unknown,Eurasia
429,kita1247,Kitan,language,extinct,Eurasia
430,cadd1256,Caddo,language,nearly extinct,North America
431,nort2950,Northern Caddoan,family,Unknown,North America
432,yuki1243,Northern Yukian,language,extinct,North America
433,wapp1239,Wappo,language,extinct,North America
434,midd1323,Middle Great Andamanese,family,Unknown,Eurasia
435,sout2683,South Great Andamanese,family,Unknown,Eurasia
435,sout2683,South Great Andamanese,family,Unknown,Papunesia
436,nort3276,North Andamanese-Akakede,family,Unknown,Eurasia
437,yems1235,Yemsa,language,shifting,Africa
438,gong1256,Kefoid,family,Unknown,Africa
439,benc1235,Bench,language,threatened,Africa
440,omet1238,Ometo,family,Unknown,Africa
441,nucl1458,Monumbo,language,shifting,Papunesia
442,lila1246,Lilau,language,shifting,Papunesia
443,ramu1234,Ramu,family,Unknown,Papunesia
444,lowe1423,Lower Sepik,family,Unknown,Papunesia
445,yonc1234,Yoncalla,language,extinct,North America
446,kala1400,Central Kalapuya,language,extinct,North America
447,tual1242,Tualatin-Yamhill,language,extinct,North America
448,tese1238,Tese,language,shifting,Africa
449,nucl1339,Temein,language,threatened,Africa
450,hume1245,Humene-Kwale,family,Unknown,Papunesia
451,mula1254,Mulaha,language,extinct,Papunesia
452,huas1241,Huastecan Mayan,family,Unknown,North America
453,core1254,Core Mayan,family,Unknown,North America
454,guai1250,Guaicuru del Sur,family,Unknown,South America
455,kadi1248,Kadiwéu,language,shifting,South America
456,gadj1243,Gajirrabeng,language,extinct,Australia
457,kitj1240,Kitja,language,moribund,Australia
458,miri1266,Miriwung,language,nearly extinct,Australia
459,sanu1240,Sanumá,language,shifting,South America
460,uncl1519,Unclassified Yanomamic,family,Unknown,South America
461,nina1239,Ninam-Yanomam-Yaroame,family,Unknown,South America
462,nort2924,Northern North Halmahera,family,Unknown,Papunesia
463,west2600,West Makian,language,threatened,Papunesia
464,east2431,Eastern Songhay,family,Unknown,Africa
465,nort2822,Northwest Songhay,family,Unknown,Africa
466,sout3136,Southern Uto-Aztecan,family,Unknown,North America
467,nort2953,Northern Uto-Aztecan,family,Unknown,North America
468,cham1315,Chamacoco,language,shifting,South America
469,zamu1244,Zamuco-Ayoreo,family,Unknown,South America
470,mang1382,Mangerr,language,extinct,Australia
471,urni1238,Urninganggic,family,Unknown,Australia
472,vall1252,Valley Maidu,language,extinct,North America
473,nort2951,Northwest Maidu,language,extinct,North America
474,nort2952,Northeast Maidu,language,extinct,North America
475,nise1244,Nisenan,language,extinct,North America
476,cher1273,Cherokee,language,threatened,North America
477,nort2947,Northern Iroquoian,family,Unknown,North America
478,tora1268,Tor,family,Unknown,Papunesia
479,orya1242,Orya,language,threatened,Papunesia
480,hurr1240,Hurrian,language,extinct,Eurasia
481,urar1245,Urartian,language,extinct,Eurasia
482,sout1439,South-Eastern-Tasmanian-Hinterland,language,extinct,Australia
483,brun1235,Bruny Island,language,extinct,Australia
484,abun1254,Abun Tat,dialect,Unknown,Papunesia
485,abun1255,Abun Ji,dialect,Unknown,Papunesia
486,abun1253,Abun Je,dialect,Unknown,Papunesia
487,dagh1238,Daghestanian,family,Unknown,Eurasia
488,nakh1246,Nakh,family,Unknown,Eurasia
489,nuka1242,Nukak Makú,language,shifting,South America
490,cacu1241,Kakua,language,shifting,South America
491,hmon1337,Hmongic,family,Unknown,Eurasia
492,mien1242,Mienic,family,Unknown,Eurasia
493,jara1245,Jarawa (India),language,threatened,Eurasia
494,onge1236,Önge,language,shifting,Eurasia
495,siaw1243,Siawi,language,moribund,Papunesia
496,amto1250,Amto,language,shifting,Papunesia
497,geor1252,Georgian-Zan,family,Unknown,Eurasia
498,svan1243,Svan,language,threatened,Eurasia
499,nucl1631,Nuclear Sentanic,family,Unknown,Papunesia
500,demt1241,Demta,language,moribund,Papunesia
501,more1263,Moreic-Waric,family,Unknown,South America
502,kite1238,Kitemoka-Tapakura,family,Unknown,South America
503,unun9892,Unclassified Chapakura,family,Unknown,South America
504,nezp1238,Nez Perce,language,nearly extinct,North America
