pk,id,name,level,status,macroareas
10137,ship1253,Shipibo-Konibo-Kapanawa,family,Unknown,South America
10138,remo1249,Remo of the Jaquirana river,language,extinct,South America
10139,poya1241,Poyanáwa,language,extinct,South America
10140,isco1239,Isconahua,language,nearly extinct,South America
10141,nawa1239,Nawa,language,extinct,South America
10142,nuku1263,Nukuini,language,extinct,South America
10143,cash1254,Cashinahua,language,shifting,South America
10144,yami1255,Yaminawa Complex,family,Unknown,South America
10145,amah1246,Amahuaca,language,moribund,South America
10146,remo1248,Remo of the Moa river,language,extinct,South America
10147,kola1287,Kolana,dialect,Unknown,Papunesia
10148,lang1327,Langkuru,dialect,Unknown,Papunesia
10149,mane1265,Maneta,dialect,Unknown,Papunesia
10150,sawi1256,Sawila,language,shifting,Papunesia
10151,kula1280,Kula (Indonesia),language,threatened,Papunesia
10152,adan1252,Adang-Hamap-Kabola,family,Unknown,Papunesia
10153,blag1241,Blagaric,family,Unknown,Papunesia
10154,kelo1247,Klon,language,shifting,Papunesia
10155,kafo1240,Kafoa,language,threatened,Papunesia
10156,taos1236,Taos,dialect,Unknown,North America
10157,nyep1239,Nyepu,dialect,Unknown,Africa
10158,nile1238,Nile Bari,dialect,Unknown,Africa
10159,poju1239,Pöjulu,dialect,Unknown,Africa
10160,ligo1238,Ligo,dialect,Unknown,Africa
10161,nyan1314,Nyangbara,dialect,Unknown,Africa
10162,nyan1315,Nyangatom,language,not endangered,Africa
10163,kara1483,Karamojong,language,not endangered,Africa
10164,turk1308,Turkana,language,not endangered,Africa
10165,topo1242,Toposa,language,not endangered,Africa
10166,orom1239,Orom,dialect,Unknown,Africa
10167,loka1256,Lokathan,dialect,Unknown,Africa
10168,loko1254,Lokoya,language,threatened,Africa
10169,dong1294,Dongotono,language,threatened,Africa
10170,lopi1242,Lopit,language,not endangered,Africa
10171,lang1322,Lango (Sudan),language,not endangered,Africa
10172,otuh1238,Otuho,language,not endangered,Africa
10173,ngas1238,Ngasa,language,extinct,Africa
10174,nucl1431,Nuclear Maa,family,Unknown,Africa
10175,doro1262,Dorobo,dialect,Unknown,Africa
10176,nucl1432,Nuclear Okiek,dialect,Unknown,Africa
10177,suie1241,Suiei (Okiek),dialect,Unknown,Africa
10178,sogo1244,Sogoo,dialect,Unknown,Africa
10179,teri1244,Terik,language,not endangered,Africa
10180,tuge1241,Tugen,language,not endangered,Africa
10181,keiy1238,Keiyo,language,not endangered,Africa
10182,nand1266,Nandi,language,not endangered,Africa
10183,mbai1249,Mbai,dialect,Unknown,Africa
10184,sabi1247,Sabiny,dialect,Unknown,Africa
10185,sorr1240,Sor,dialect,Unknown,Africa
10186,koon1246,Koony,dialect,Unknown,Africa
10187,book1240,Book,dialect,Unknown,Africa
10188,bong1286,Bong'omeek,dialect,Unknown,Africa
10189,endo1242,Endo,dialect,Unknown,Africa
10190,samb1316,Sambirir,dialect,Unknown,Africa
10191,west2492,West Pokot,dialect,Unknown,Africa
10192,east2420,East Pokot,dialect,Unknown,Africa
10193,bura1273,Buraadiga,language,not endangered,Africa
10194,dato1239,Barabayiiga-Gisamjanga,language,not endangered,Africa
10195,isim1234,Isimjeega-Rootigaanga,language,not endangered,Africa
10196,labw1238,Labwor,dialect,not endangered,Africa
10197,dhop1238,Dhopaluo,dialect,Unknown,Africa
10198,nyak1263,Nyakwai,dialect,Unknown,Africa
10199,kuma1275,Kumam,language,not endangered,Africa
10200,lang1324,Lango (Uganda),language,not endangered,Africa
10201,alur1250,Alur,language,not endangered,Africa
10202,adho1242,Adhola-Luo,family,Unknown,Africa
10203,thur1255,Thuri,language,threatened,Africa
10204,luwo1239,Luwo,language,not endangered,Africa
10205,adoy1238,Adoyo,dialect,Unknown,Africa
10206,coro1246,Coro,dialect,Unknown,Africa
10207,lull1238,Lul,dialect,Unknown,Africa
10208,open1238,Opëno,dialect,Unknown,Africa
10209,abig1238,Abigar,dialect,Unknown,Africa
10210,east2421,Eastern Jikany,dialect,Unknown,Africa
10211,west2494,Western Jikany,dialect,Unknown,Africa
10212,thia1238,Thiang,dialect,Unknown,Africa
10213,louu1244,Lou (Nilotic),dialect,Unknown,Africa
10214,nyuo1238,Nyuong,dialect,Unknown,Africa
10215,cien1238,Cien,dialect,Unknown,Africa
10216,thog1238,Thognaath,dialect,Unknown,Africa
10217,dorr1240,Dor,dialect,Unknown,Africa
10218,east2422,Eastern Nuer,dialect,Unknown,Africa
10219,pawa1254,Pawany,dialect,Unknown,Africa
10220,ngok1246,Ngok-Kordofan,dialect,Unknown,Africa
10221,pana1299,Pan Aru,dialect,Unknown,Africa
10222,alor1246,Alor (Nilotic),dialect,Unknown,Africa
10223,alia1238,Aliap,dialect,Unknown,Africa
10224,agar1249,Agar,dialect,Unknown,Africa
10225,ciec1238,Ciec,dialect,Unknown,Africa
10226,gokk1238,Gok,dialect,Unknown,Africa
10227,ngok1245,Ngok-Sobat,dialect,Unknown,Africa
10228,rutt1238,Rut,dialect,Unknown,Africa
10229,agee1238,Ageer,dialect,Unknown,Africa
10230,luac1241,Luac,dialect,Unknown,Africa
10231,dong1295,Dongjol,dialect,Unknown,Africa
10232,thoi1238,Thoi,dialect,Unknown,Africa
10233,abil1238,Abiliang,dialect,Unknown,Africa
10234,atho1238,Athoc,dialect,Unknown,Africa
10235,nyar1247,Nyarweng,dialect,Unknown,Africa
10236,tuic1247,Tuic,dialect,Unknown,Africa
10237,ghol1238,Ghol,dialect,Unknown,Africa
10238,borr1242,Bor,dialect,Unknown,Africa
10239,rekk1238,Rek,dialect,Unknown,Africa
10240,pali1277,Paliet,dialect,Unknown,Africa
10241,awan1239,Awan,dialect,Unknown,Africa
10242,abie1238,Abiem,dialect,Unknown,Africa
10243,aguo1238,Aguok,dialect,Unknown,Africa
10244,lauu1246,Lau (Nilotic),dialect,Unknown,Africa
10245,tuic1246,Tuic (Southwestern Dinka),dialect,Unknown,Africa
10246,pali1276,Palioupiny,dialect,Unknown,Africa
10247,apuk1238,Apuk,dialect,Unknown,Africa
10248,malu1244,Malual,dialect,Unknown,Africa
10249,luac1242,Luac (Southwestern Dinka),dialect,Unknown,Africa
10250,west2579,West Torricelli,dialect,Unknown,Papunesia
10251,east2498,East Torricelli,dialect,Unknown,Papunesia
10252,yaki1238,Yakio,dialect,Unknown,Papunesia
10253,miri1272,Miringi,dialect,Unknown,Papunesia
10254,wamp1251,Wampurun,dialect,Unknown,Papunesia
10255,yaku1246,Yakulmp,dialect,Unknown,Papunesia
10256,yaka1279,Yakangom,dialect,Unknown,Papunesia
10257,nort2905,Akwun,dialect,Unknown,Papunesia
10258,west2578,Wampukuamp,dialect,Unknown,Papunesia
10259,yasi1245,Yasile,dialect,Unknown,Papunesia
10260,yass1241,Yassum,dialect,Unknown,Papunesia
10261,sout2931,Yanimoi,dialect,Unknown,Papunesia
10262,tong1332,Tong (Kombio),dialect,Unknown,Papunesia
10263,sopm1234,Sopmirek,dialect,Unknown,Papunesia
10264,fili1245,Filifita,dialect,Unknown,Papunesia
10265,supa1247,Supari,dialect,Unknown,Papunesia
10266,iwam1257,Iwam-Nagalemb,dialect,Unknown,Papunesia
10267,nagi1238,Nagipaem,dialect,Unknown,Papunesia
10268,bali1283,Balif,dialect,Unknown,Papunesia
10269,abua1245,Abu' Arapesh,language,shifting,Papunesia
10270,buki1249,Bukiyip,language,shifting,Papunesia
10271,sout2933,South Aunalei,dialect,Unknown,Papunesia
10272,nort2906,North Aunalei,dialect,Unknown,Papunesia
10273,cent2109,Central Aunalei,dialect,Unknown,Papunesia
10274,barg1251,Bargu,dialect,Unknown,Eurasia
10275,barg1250,Barguzin,dialect,Unknown,Eurasia
10276,okaa1242,Oka,dialect,Unknown,Eurasia
10277,boha1238,Bohaan,dialect,Unknown,Eurasia
10278,ninz1245,Ninzne-Udinsk,dialect,Unknown,Eurasia
10279,ekhi1238,Ekhirit,dialect,Unknown,Eurasia
10280,alar1239,Alar,dialect,Unknown,Eurasia
10281,bula1254,Bulagat,dialect,Unknown,Eurasia
10282,unga1252,Unga,dialect,Unknown,Eurasia
10283,tunk1240,Tunka,dialect,Unknown,Eurasia
10284,agaa1241,Aga,dialect,Unknown,Eurasia
10285,khor1270,Khori,dialect,Unknown,Eurasia
10286,dari1250,Dariganga,dialect,Unknown,Eurasia
10287,tson1247,Tsongol,dialect,Unknown,Eurasia
10288,sart1248,Sartul,dialect,Unknown,Eurasia
10289,halh1239,Halh,dialect,Unknown,Eurasia
10290,khot1253,Khotogoit,dialect,Unknown,Eurasia
10291,jost1238,Jostu,dialect,Unknown,Eurasia
10292,chah1241,Chahar,dialect,Unknown,Eurasia
10293,ulan1238,Ulanchab,dialect,Unknown,Eurasia
10294,jiri1239,Jirim,dialect,Unknown,Eurasia
10295,joud1238,Jo-Uda,dialect,Unknown,Eurasia
10296,ejin1238,Ejine,dialect,Unknown,Eurasia
10297,shil1261,Shilingol,dialect,Unknown,Eurasia
10298,ordo1245,Ordos,dialect,Unknown,Eurasia
10299,tumu1241,Tumut,dialect,Unknown,Eurasia
10300,kalm1244,Kalmyk,dialect,Unknown,Eurasia
10301,alas1256,Alasha Oirad,dialect,Unknown,Eurasia
10302,deed1234,Deed Mongol,dialect,Unknown,Eurasia
10303,oira1262,Altai Oirat,dialect,Unknown,Eurasia
10304,sart1247,Sart Qalmaq,dialect,Unknown,Eurasia
10305,jung1241,Jungarian Oirat,dialect,Unknown,Eurasia
10306,dark1243,Darkhat,dialect,threatened,Eurasia
10307,siji1238,Sijiaji,dialect,Unknown,Eurasia
10308,wang1256,Wangjiaji,dialect,Unknown,Eurasia
10309,suon1238,Suonanba,dialect,Unknown,Eurasia
10310,jish1241,Jishishan,dialect,Unknown,Eurasia
10311,tong1310,Tongren,dialect,Unknown,Eurasia
10312,nucl1639,Nuclear Awar,dialect,Unknown,Papunesia
10313,nubi1252,Nubia,dialect,Unknown,Papunesia
10314,achi1256,Achi,language,threatened,North America
10315,kich1262,K'iche',language,threatened,North America
10316,tzut1248,Tz'utujil,language,threatened,North America
10317,kaqc1270,Kaqchikel,language,threatened,North America
10318,taba1266,Tabasco Chontal,language,threatened,North America
10319,chol1282,Chol,language,not endangered,North America
10320,chol1283,Cholti,language,extinct,North America
10321,chor1273,Chortí,language,shifting,North America
10322,chan1320,Chanal Cancuc,dialect,Unknown,North America
10323,tena1239,Tenango,dialect,Unknown,North America
10324,qanj1241,Q'anjob'al,language,threatened,North America
10325,popt1235,Popti',language,threatened,North America
10326,west2635,Akateko,language,shifting,North America
10327,moto1243,Motozintleco,dialect,Unknown,North America
10328,tuza1238,Tuzanteco,dialect,Unknown,North America
10329,padi1242,Pa'disua,dialect,Unknown,Papunesia
10330,tala1288,Tala'i,dialect,Unknown,Papunesia
10331,toli1245,Toliwiku,dialect,Unknown,Papunesia
10332,nucl1627,Nuclear Pagu,dialect,Unknown,Papunesia
10333,isam1243,Isam,dialect,Unknown,Papunesia
10334,pres1239,Presidio de los Reyes Cora,dialect,Unknown,North America
10335,jesu1238,Jesús María Cora,dialect,Unknown,North America
10336,sanf1259,San Francisco Cora,dialect,Unknown,North America
10337,lame1261,La Mesa del Nayar Cora,dialect,Unknown,North America
10338,nucl1652,Nuclear Santa Teresa Cora,dialect,Unknown,North America
10339,dolo1238,Dolores Cora,dialect,Unknown,North America
10340,sanb1240,San Blasito Cora,dialect,Unknown,North America
10341,rosa1238,Rosarito Cora,dialect,Unknown,North America
10342,sanj1277,San Juan Corapan Cora,dialect,Unknown,North America
10343,taba1265,Tabasco Nahuatl,language,nearly extinct,North America
10344,isth1242,Isthmus-Mecayapan Nahuatl,language,not endangered,North America
10345,isth1241,Isthmus-Pajapan Nahuatl,language,threatened,North America
10346,isth1240,Isthmus-Cosoleacaque Nahuatl,language,threatened,North America
10347,oriz1235,Orizaba Nahuatl,language,not endangered,North America
10348,tehu1244,Tehuacanic,family,Unknown,North America
10349,west2624,Western Huasteca Nahuatl,language,not endangered,North America
10350,east2538,Eastern Huasteca Nahuatl,language,threatened,North America
10351,cent2134,Central Huasteca Nahuatl,language,threatened,North America
10352,west2825,Western Periphery Nahuatl,family,Unknown,North America
10353,nort3202,North Guerrero Nahuatl,family,Unknown,North America
10354,tema1239,Temascaltepec Nahuatl,language,shifting,North America
10355,poch1244,Pochutec,language,extinct,North America
10356,nort2957,Northern Puebla Nahuatl,language,not endangered,North America
10357,cent2132,Tlaxcala-Puebla-Central Nahuatl,language,threatened,North America
10358,tete1251,Tetelcingo Nahuatl,language,threatened,North America
10359,more1259,Morelos Nahuatl,language,not endangered,North America
10360,clas1250,Classical Nahuatl,language,extinct,North America
10361,dese1235,Desert Cahuilla,dialect,Unknown,North America
10362,moun1256,Mountain Cahuilla,dialect,Unknown,North America
10363,pass1251,Pass Cahuilla,dialect,Unknown,North America
10364,mugi1235,Mugin,dialect,Unknown,Eurasia
10365,uppe1462,Upper Mulebki,dialect,Unknown,Eurasia
