pk,id,name,latitude,longitude,speakers_count,father_pk,family_pk,level,child_family_count,child_language_count,child_dialect_count,macroareas,status
935,tura1264,Turama-Omatian,,,,256.0,256.0,family,0,3,5,Papunesia,
936,tlin1245,Tlingit,59.4447,-135.29,1360.0,257.0,257.0,language,0,0,7,North America,nearly extinct
937,atha1246,Athabaskan-Eyak,,,,257.0,257.0,family,26,45,57,North America,
938,miwo1275,Miwokan,,,,258.0,258.0,family,3,7,5,North America,
939,cost1250,Costanoan,,,,258.0,258.0,family,1,4,8,North America,
940,akib1234,Akiblik,,,,259.0,259.0,dialect,0,0,0,Papunesia,
941,coas1322,Coastal Anem,,,,259.0,259.0,dialect,0,0,0,Papunesia,
942,mapu1245,Mapudungun,-38.7392,-71.277,260000.0,260.0,260.0,language,0,0,3,South America,shifting
943,huil1244,Huilliche,-40.0694,-72.767,,260.0,260.0,language,0,0,1,South America,moribund
944,sanj1287,San José Guamo,,,,262.0,262.0,dialect,0,0,0,South America,
945,sant1461,Santa Rosa Guamo,,,,262.0,262.0,dialect,0,0,0,South America,
946,tega1236,Tegali,11.9523,31.1112,35700.0,264.0,264.0,language,0,0,2,Africa,threatened
947,tago1246,Tagoi,12.0346,30.9306,13000.0,264.0,264.0,language,0,0,4,Africa,threatened
948,secc1234,Sec,,,,265.0,265.0,dialect,0,0,0,South America,
949,olmo1234,Olmos,,,,265.0,265.0,dialect,0,0,0,South America,
950,xucu1234,Xucuru,,,,267.0,267.0,dialect,0,0,0,South America,
951,para1322,Paratio,,,,267.0,267.0,dialect,0,0,0,South America,
952,wula1246,Wulanga,,,,268.0,268.0,dialect,0,0,0,Papunesia,
953,jinj1238,Jinjo,,,,268.0,268.0,dialect,0,0,0,Papunesia,
954,bouu1238,Bou,,,,268.0,268.0,dialect,0,0,0,Papunesia,
955,jaru1255,Jaru (Papua New Guinea),,,,268.0,268.0,dialect,0,0,0,Papunesia,
956,dami1238,Daminyu,,,,268.0,268.0,dialect,0,0,0,Papunesia,
957,abal1238,Abaletti,,,,268.0,268.0,dialect,0,0,0,Papunesia,
958,sout3135,Southeastern Pama-Nyungan,,,,269.0,269.0,family,27,40,67,Australia,
959,yimi1234,Yimidhirr-Yalanji-Yidinic,,,,269.0,269.0,family,2,6,8,Australia,
